id,matched,rmsd
JVASP-14504,1,3.043036895130778e-16
JVASP-118334,0,
JVASP-67853,0,
JVASP-37103,0,
JVASP-14713,1,9.745160793686753e-17
JVASP-91708,0,
JVASP-11987,1,0.0
JVASP-116346,1,0.008096248537982166
JVASP-40500,1,1.8898815747643265e-06
JVASP-85032,0,
JVASP-41894,1,1.8898815747971664e-06
JVASP-19783,0,
JVASP-67604,0,
JVASP-134931,0,
JVASP-36173,1,0.0
JVASP-38887,1,1.8963521670325227e-06
JVASP-15727,1,0.003122627949281566
JVASP-18765,1,3.553009874824326e-16
JVASP-93220,1,0.0
JVASP-17902,0,
JVASP-18219,1,2.493568174948457e-16
JVASP-40030,1,2.1822451995426857e-06
JVASP-138738,0,
JVASP-67811,0,
JVASP-117964,1,0.2916643275451588
JVASP-19755,1,0.0
JVASP-74557,1,0.012222598320907914
JVASP-14508,1,0.43662052245985483
JVASP-19769,0,
JVASP-120303,0,
JVASP-62158,1,0.009295584839926908
JVASP-39222,1,0.0
JVASP-7935,1,9.083921462844027e-17
JVASP-35775,1,0.0
JVASP-17455,0,
JVASP-39845,1,2.1822472721847315e-06
JVASP-39772,1,2.182247147026982e-06
JVASP-120108,0,
JVASP-134667,0,
JVASP-37753,1,3.0914354934666983e-06
JVASP-20517,0,
JVASP-115500,0,
JVASP-20590,1,0.0
JVASP-961,0,
JVASP-16583,1,2.5762520780179923e-16
JVASP-56205,0,
JVASP-39836,0,
JVASP-17912,0,
JVASP-134821,1,0.3617491363576802
JVASP-137891,0,
JVASP-36265,1,4.0444525176111773e-16
JVASP-14960,1,0.0
JVASP-14903,0,
JVASP-139627,0,
JVASP-113989,0,
JVASP-19736,0,
JVASP-15912,1,2.6834678679983156e-16
JVASP-40492,1,2.1822472720564933e-06
JVASP-37092,0,
JVASP-116053,0,
JVASP-105726,1,0.014069995746848698
JVASP-41603,1,1.8898815749831844e-06
JVASP-113491,0,
JVASP-39970,1,1.889881574833066e-06
JVASP-15729,1,0.0
JVASP-19914,1,0.0016362197510794284
JVASP-114341,0,
JVASP-67265,0,
JVASP-118592,1,0.024007572784645673
JVASP-41865,1,1.8898815749097854e-06
JVASP-100039,0,
JVASP-136919,0,
JVASP-121083,0,
JVASP-36745,0,
JVASP-90839,0,
JVASP-99747,1,2.9079661819004723e-16
JVASP-102805,0,
JVASP-14646,1,0.0
JVASP-70115,1,1.5058152065479699e-05
JVASP-14933,1,0.012283989811888078
JVASP-134385,0,
JVASP-20620,1,0.001265937306472772
JVASP-65132,0,
JVASP-106126,0,
JVASP-56726,0,
JVASP-94831,1,0.0005603525533220795
JVASP-129329,0,
JVASP-11984,1,0.3577220636145102
JVASP-40613,1,2.1822472721868627e-06
JVASP-17669,0,
JVASP-16463,1,2.90227101234964e-16
JVASP-100385,0,
JVASP-106847,1,0.43272130396148234
JVASP-69967,0,
JVASP-16550,1,0.023678674998786425
JVASP-17540,1,3.3248537556834707e-16
JVASP-68524,0,
JVASP-20098,1,0.0
JVASP-40540,1,1.889881574815938e-06
JVASP-111325,1,0.0
JVASP-74781,0,
JVASP-910,0,
JVASP-71553,1,0.008586366393256132
