JobID|JobName|State|ExitCode|Partition|NodeList|ReqTRES|AllocTRES|Submit|Start|End|Planned|Elapsed|ElapsedRaw|TotalCPU|CPUTimeRAW|MaxRSS|MaxVMSize|AveCPU|MaxDiskRead|MaxDiskWrite|ConsumedEnergy
140283|csp-aggregate|PENDING|0:0|gpu_7day|None assigned|billing=2,cpu=2,mem=8192M,node=1||2026-08-31T07:51:27|Unknown|Unknown|00:00:00|00:00:00|0|00:00:00|0||||||0
140282_0|csp-symprec-sweep|RUNNING|0:0|gpu_7day|dscog006|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:51:27|2026-08-31T07:51:27|Unknown|00:00:00|00:03:12|192|00:00:00|1536||||||
140282_0.batch|batch|RUNNING|0:0||dscog006||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:51:27|2026-08-31T07:51:27|Unknown||00:03:12|192|00:00:00|1536||||||0
140284|csp-analysis|RUNNING|0:0|gpu_7day|dscog004|billing=8,cpu=8,mem=32768M,node=1|billing=8,cpu=8,mem=32768M,node=1|2026-08-31T07:53:16|2026-08-31T07:53:16|Unknown|00:00:00|00:01:23|83|00:00:00|664||||||
140284.batch|batch|RUNNING|0:0||dscog004||cpu=8,mem=32768M,node=1|2026-08-31T07:53:16|2026-08-31T07:53:16|Unknown||00:01:23|83|00:00:00|664||||||0
140285_0|csp-mechanism|RUNNING|0:0|gpu_7day|dscog006|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:23|2026-08-31T07:54:23|Unknown|00:00:00|00:00:16|16|00:00:00|128||||||
140285_0.batch|batch|RUNNING|0:0||dscog006||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:23|2026-08-31T07:54:23|Unknown||00:00:16|16|00:00:00|128||||||0
140285_1|csp-mechanism|RUNNING|0:0|gpu_7day|dscog006|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:23|2026-08-31T07:54:24|Unknown|00:00:01|00:00:15|15|00:00:00|120||||||
140285_1.batch|batch|RUNNING|0:0||dscog006||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:24|2026-08-31T07:54:24|Unknown||00:00:15|15|00:00:00|120||||||0
140285_2|csp-mechanism|RUNNING|0:0|gpu_7day|dscog007|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:23|2026-08-31T07:54:24|Unknown|00:00:01|00:00:15|15|00:00:00|120||||||
