id,matched,rmsd
JVASP-14504,1,4.0634128034500006e-16
JVASP-118334,0,
JVASP-67853,0,
JVASP-37103,0,
JVASP-14713,1,9.74693370553187e-17
JVASP-91708,1,0.3526360303163397
JVASP-11987,1,0.0
JVASP-116346,0,
JVASP-40500,1,1.889881574841601e-06
JVASP-85032,0,
JVASP-41894,1,1.8898815748265667e-06
JVASP-19783,1,2.384382673495014e-16
JVASP-67604,0,
JVASP-134931,0,
JVASP-36173,1,0.0
JVASP-38887,0,
JVASP-15727,0,
JVASP-18765,1,2.3508420316350154e-16
JVASP-93220,1,0.0
JVASP-17902,0,
JVASP-18219,1,2.5855552839296774e-16
JVASP-40030,1,2.1822451994997657e-06
JVASP-138738,0,
JVASP-67811,0,
JVASP-117964,0,
JVASP-19755,0,
JVASP-74557,1,4.294131398525977e-05
JVASP-14508,1,0.4337191592448658
JVASP-19769,0,
JVASP-120303,0,
JVASP-62158,0,
JVASP-39222,1,0.0
JVASP-7935,1,2.509100975086016e-16
JVASP-35775,1,0.0
JVASP-17455,1,0.02091594167152002
JVASP-39845,1,2.1822472720405166e-06
JVASP-39772,1,2.1822471469782982e-06
JVASP-120108,0,
JVASP-134667,0,
JVASP-37753,1,3.0906431846947204e-06
JVASP-20517,1,2.6678468828566667e-16
JVASP-115500,1,0.4351027934075205
JVASP-20590,1,0.0
JVASP-961,1,0.0
JVASP-16583,1,2.7966531724464826e-16
JVASP-56205,1,0.39633593299163433
JVASP-39836,1,1.8898815749166535e-06
JVASP-17912,0,
JVASP-134821,1,0.37993515801280753
JVASP-137891,0,
JVASP-36265,1,5.477212330321116e-16
JVASP-14960,1,0.0
JVASP-14903,0,
JVASP-139627,0,
JVASP-113989,0,
JVASP-19736,1,0.01718818957708502
JVASP-15912,1,3.342812724287913e-16
JVASP-40492,1,2.1822472721189615e-06
JVASP-37092,0,
JVASP-116053,0,
JVASP-105726,1,0.012651391969910263
JVASP-41603,1,1.8898815750635212e-06
JVASP-113491,0,
JVASP-39970,1,1.8898815748016853e-06
JVASP-15729,1,0.0
JVASP-19914,1,0.002493747680387922
JVASP-114341,0,
JVASP-67265,0,
JVASP-118592,1,0.06829128518373775
JVASP-41865,1,1.8898815748752603e-06
JVASP-100039,0,
JVASP-136919,0,
JVASP-121083,0,
JVASP-36745,0,
JVASP-90839,0,
JVASP-99747,0,
JVASP-102805,0,
JVASP-14646,1,0.0
JVASP-70115,1,1.5012602381672082e-05
JVASP-14933,1,0.015059222317412222
JVASP-134385,0,
JVASP-20620,1,0.00354665021104489
JVASP-65132,0,
JVASP-106126,0,
JVASP-56726,0,
JVASP-94831,1,0.0016288036166747439
JVASP-129329,0,
JVASP-11984,1,0.004625717020672386
JVASP-40613,1,2.182247272127132e-06
JVASP-17669,0,
JVASP-16463,0,
JVASP-100385,0,
JVASP-106847,0,
JVASP-69967,0,
JVASP-16550,1,1.679464875136806e-16
JVASP-17540,0,
JVASP-68524,0,
JVASP-20098,1,0.0
JVASP-40540,1,1.889881574823253e-06
JVASP-111325,1,1.560777827539533e-16
JVASP-74781,0,
JVASP-910,0,
JVASP-71553,1,0.012049456630951619
